Direction Split,Density,Avg Speed,Average Density,2nd Avg Speed
0.5,0.05,2.9359720139930494,0.15622188905547185,2.9985
0.5,0.1,2.870174912543711,0.3053973013493236,2.92874
0.5,0.15,2.8053639846744054,0.44767616191904036,2.865466666666667
0.5,0.2,2.8040029985007457,0.5964517741129437,2.867665
0.5,0.25,2.732569715142438,0.7267866066966525,2.795096
0.5,0.3,2.6544127936031896,0.8473263368315848,2.715106666666667
0.5,0.35,2.539413150567581,0.9460269865067474,2.5959942857142857
0.5,0.4,2.4630959520239877,1.0480259870064972,2.5166625
0.5,0.45,2.386779943361649,1.1427286356821595,2.437411111111111
0.5,0.5,2.395472263868066,1.27351324337831,2.4469980000000002
0.5,0.55,2.3109826904729336,1.3526236881559222,2.358549090909091
0.5,0.6,2.1963384974179587,1.4018490754622683,2.2393449999999997
0.5,0.65,2.228714873332564,1.5410794602698654,2.2732569230769233
0.5,0.7,2.1799400299850116,1.6233383308345797,2.2246442857142856
0.5,0.75,2.033211394302849,1.6227886056971526,2.0726106666666664
0.5,0.8,2.0718078460769593,1.7644677661169441,2.11109625
0.5,0.85,1.9373854249345934,1.7523238380809578,1.9733941176470589
0.5,0.9,1.975341218279748,1.8914542728635722,2.012732222222222
0.5,0.95,1.9115778952628906,1.9311844077961016,1.9470284210526316
0.6,0.05,3.0143328335831976,0.16031984007996086,3.08154
0.6,0.1,2.9112943528235746,0.30974512743628163,2.97427
0.6,0.15,2.9012293853073983,0.46291854072963495,2.9648866666666667
0.6,0.2,2.7458720639680196,0.5843578210894554,2.807925
0.6,0.25,2.7159380309845162,0.722438780609697,2.7773879999999997
0.6,0.3,2.6457571214392845,0.8443278360819608,2.7041166666666667
0.6,0.35,2.617145712857858,0.9741629185407306,2.676537142857143
0.6,0.4,2.5138305847076463,1.0695652173913022,2.5684074999999997
0.6,0.45,2.4604075739907842,1.1780609695152413,2.51382
0.6,0.5,2.4063688155922067,1.2799600199900043,2.457064
0.6,0.55,2.330990868202252,1.363368315842078,2.3784181818181818
0.6,0.6,2.311777444611024,1.4750624687656184,2.3584583333333335
0.6,0.65,2.1478353131126724,1.4845577211394319,2.189489230769231
0.6,0.7,2.0909516670236297,1.5565717141429272,2.131157142857143
