pedX,pedY,vehX,vehY,TTC
900,275,521,235,3
900,261,648,235,2
900,247,775,235,1
900,25,355,52,3
900,34,537,52,2
900,43,719,52,1
900,275,299,206,3
900,252,500,206,2
900,229,701,206,1
900,25,786,78,3
900,43,824,78,2
900,61,862,78,1
900,25,435,110,3
900,54,590,110,2
900,83,745,110,1
900,25,560,82,3
900,44,674,82,2
900,63,788,82,1
900,275,468,209,3
900,253,612,209,2
900,231,756,209,1
900,25,437,62,3
900,38,592,62,2
900,51,747,62,1
900,275,583,208,3
900,252,689,208,2
900,229,795,208,1
900,275,482,192,3
900,247,622,192,2
900,219,762,192,1
900,25,463,73,3
900,41,609,73,2
900,57,755,73,1
900,25,470,101,3
900,51,614,101,2
900,77,758,101,1
900,275,488,187,3
900,245,626,187,2
900,215,764,187,1
900,25,624,100,3
900,50,716,100,2
900,75,808,100,1
900,275,285,197,3
900,249,490,197,2
900,223,695,197,1
900,25,419,71,3
900,41,580,71,2
900,57,741,71,1
900,25,425,115,3
900,55,584,115,2
900,85,743,115,1
900,275,529,210,3
900,253,653,210,2
900,231,777,210,1
900,25,449,86,3
900,46,600,86,2
900,67,751,86,1
900,275,419,190,3
900,246,580,190,2
900,217,741,190,1
900,25,544,100,3
900,50,663,100,2
900,75,782,100,1
900,25,458,76,3
900,42,606,76,2
900,59,754,76,1
900,25,363,66,3
900,39,542,66,2
900,53,721,66,1
900,25,839,102,3
900,51,860,102,2
900,77,881,102,1
900,25,418,72,3
900,41,579,72,2
900,57,740,72,1
900,275,437,235,3
900,261,592,235,2
900,247,747,235,1
900,25,550,82,3
900,44,667,82,2
900,63,784,82,1
900,275,459,158,3
900,236,606,158,2
900,197,753,158,1
900,275,359,215,3
900,255,540,215,2
900,235,721,215,1
900,275,380,183,3
900,244,554,183,2
900,213,728,183,1
900,25,560,85,3
900,45,674,85,2
900,65,788,85,1
900,275,787,214,3
900,254,825,214,2
900,233,863,214,1
900,275,640,229,3
900,259,727,229,2
900,243,814,229,1
900,275,485,232,3
900,260,624,232,2
900,245,763,232,1
900,275,499,242,3
900,264,633,242,2
900,253,767,242,1
900,25,375,97,3
900,49,550,97,2
900,73,725,97,1
900,275,592,216,3
900,255,695,216,2
900,235,798,216,1
900,25,447,67,3
900,39,598,67,2
900,53,749,67,1
900,275,384,203,3
900,251,556,203,2
900,227,728,203,1
900,25,531,86,3
900,46,654,86,2
900,67,777,86,1
900,25,653,59,3
900,37,736,59,2
900,49,819,59,1
900,275,471,207,3
900,252,614,207,2
900,229,757,207,1
900,25,367,99,3
900,50,545,99,2
900,75,723,99,1
900,25,626,74,3
900,42,718,74,2
900,59,810,74,1
900,25,525,110,3
900,54,650,110,2
900,83,775,110,1
900,275,277,234,3
900,261,485,234,2
900,247,693,234,1
900,25,416,66,3
900,39,578,66,2
900,53,740,66,1
900,275,375,174,3
900,241,550,174,2
900,207,725,174,1
900,275,554,235,3
900,261,670,235,2
900,247,786,235,1
900,25,445,63,3
900,38,597,63,2
900,51,749,63,1
900,25,623,65,3
900,39,716,65,2
900,53,809,65,1
900,275,520,211,3
900,253,647,211,2
900,231,774,211,1
900,25,554,87,3
900,46,670,87,2
900,67,786,87,1
900,275,378,225,3
900,258,552,225,2
900,241,726,225,1
900,275,538,220,3
900,256,659,220,2
900,237,780,220,1
900,25,358,69,3
900,40,539,69,2
900,55,720,69,1
900,25,318,66,3
900,39,512,66,2
900,53,706,66,1
900,275,384,238,3
900,262,556,238,2
900,249,728,238,1
900,25,702,56,3
900,36,768,56,2
900,47,834,56,1
900,275,624,202,3
900,250,716,202,2
900,225,808,202,1
900,275,313,241,3
900,263,509,241,2
900,251,705,241,1
900,25,536,98,3
900,50,658,98,2
900,75,780,98,1
900,275,554,225,3
900,258,670,225,2
900,241,786,225,1
900,275,566,224,3
900,258,678,224,2
900,241,790,224,1
900,275,736,212,3
900,254,791,212,2
900,233,846,212,1
900,25,271,115,3
900,55,481,115,2
900,85,691,115,1
900,275,519,201,3
900,250,646,201,2
900,225,773,201,1
900,25,504,114,3
900,55,636,114,2
900,85,768,114,1
900,275,509,226,3
900,258,640,226,2
900,241,771,226,1
900,25,692,90,3
900,47,762,90,2
900,69,832,90,1
900,275,477,201,3
900,250,618,201,2
900,225,759,201,1
900,25,462,58,3
900,36,608,58,2
900,47,754,58,1
900,25,730,91,3
900,47,787,91,2
900,69,844,91,1
900,275,469,170,3
900,240,613,170,2
900,205,757,170,1
900,275,564,223,3
900,257,676,223,2
900,239,788,223,1
900,25,448,68,3
900,40,599,68,2
900,55,750,68,1
900,275,408,218,3
900,256,572,218,2
900,237,736,218,1
900,275,427,209,3
900,253,585,209,2
900,231,743,209,1
900,25,615,104,3
900,52,710,104,2
900,79,805,104,1
900,25,481,65,3
900,39,621,65,2
900,53,761,65,1
900,25,598,78,3
900,43,699,78,2
900,61,800,78,1
900,275,499,195,3
900,248,633,195,2
900,221,767,195,1
900,275,446,213,3
900,254,598,213,2
900,233,750,213,1
900,25,339,120,3
900,57,526,120,2
900,89,713,120,1
900,25,435,67,3
900,39,590,67,2
900,53,745,67,1
900,275,561,214,3
900,254,674,214,2
900,233,787,214,1
900,275,597,213,3
900,254,698,213,2
900,233,799,213,1
900,275,285,217,3
900,255,490,217,2
900,235,695,217,1
900,25,447,125,3
900,59,598,125,2
900,93,749,125,1
900,25,486,87,3
900,46,624,87,2
900,67,762,87,1
900,275,720,194,3
900,248,780,194,2
900,221,840,194,1
900,25,607,116,3
900,56,705,116,2
900,87,803,116,1
900,275,385,229,3
900,259,557,229,2
900,243,729,229,1
900,275,522,240,3
900,263,648,240,2
900,251,774,240,1
900,25,641,77,3
900,43,728,77,2
900,61,815,77,1
900,275,451,209,3
900,253,601,209,2
900,231,751,209,1
900,275,562,220,3
900,256,675,220,2
900,237,788,220,1
900,25,358,68,3
900,40,539,68,2
900,55,720,68,1
900,25,453,55,3
900,35,602,55,2
900,45,751,55,1
900,25,255,100,3
900,50,470,100,2
900,75,685,100,1
900,25,315,80,3
900,44,510,80,2
900,63,705,80,1
900,25,389,145,3
900,65,560,145,2
900,105,731,145,1
900,25,484,101,3
900,51,623,101,2
900,77,762,101,1
900,275,520,219,3
900,256,647,219,2
900,237,774,219,1
900,25,486,100,3
900,50,624,100,2
900,75,762,100,1
900,25,284,125,3
900,59,490,125,2
900,93,696,125,1
900,25,506,108,3
900,53,638,108,2
900,81,770,108,1
900,275,643,211,3
900,253,729,211,2
900,231,815,211,1
900,25,659,89,3
900,47,740,89,2
900,69,821,89,1
900,275,465,232,3
900,260,610,232,2
900,245,755,232,1
900,275,320,193,3
900,247,514,193,2
900,219,708,193,1
900,25,657,56,3
900,36,738,56,2
900,47,819,56,1
900,275,528,210,3
900,253,652,210,2
900,231,776,210,1
900,275,275,199,3
900,249,484,199,2
900,223,693,199,1
900,25,351,106,3
900,52,534,106,2
900,79,717,106,1
900,275,739,200,3
900,250,793,200,2
900,225,847,200,1
900,25,475,64,3
900,38,617,64,2
900,51,759,64,1
900,25,550,104,3
900,52,667,104,2
900,79,784,104,1
900,25,582,103,3
900,51,688,103,2
900,77,794,103,1
900,25,650,88,3
900,46,734,88,2
900,67,818,88,1
900,25,591,67,3
900,39,694,67,2
900,53,797,67,1
900,25,730,75,3
900,42,787,75,2
900,59,844,75,1
900,25,530,76,3
900,42,654,76,2
900,59,778,76,1
900,25,510,115,3
900,55,640,115,2
900,85,770,115,1
900,25,266,82,3
900,44,478,82,2
900,63,690,82,1
900,275,343,217,3
900,255,529,217,2
900,235,715,217,1
900,275,508,207,3
900,252,639,207,2
900,229,770,207,1
900,275,611,239,3
900,263,708,239,2
900,251,805,239,1
900,275,485,206,3
900,252,624,206,2
900,229,763,206,1
900,275,429,215,3
900,255,586,215,2
900,235,743,215,1
900,275,324,219,3
900,256,516,219,2
900,237,708,219,1
900,25,435,63,3
900,38,590,63,2
900,51,745,63,1
900,275,611,225,3
900,258,708,225,2
900,241,805,225,1
900,25,453,86,3
900,46,602,86,2
900,67,751,86,1
900,275,314,224,3
900,258,510,224,2
900,241,706,224,1
900,25,450,105,3
900,52,600,105,2
900,79,750,105,1
900,25,399,65,3
900,39,566,65,2
900,53,733,65,1
900,275,333,225,3
900,258,522,225,2
900,241,711,225,1
900,25,657,54,3
900,35,738,54,2
900,45,819,54,1
900,25,409,67,3
900,39,573,67,2
900,53,737,67,1
900,25,385,67,3
900,39,557,67,2
900,53,729,67,1
900,275,448,203,3
900,251,599,203,2
900,227,750,203,1
900,275,455,165,3
900,238,604,165,2
900,201,753,165,1
900,275,463,242,3
900,264,609,242,2
900,253,755,242,1
900,25,584,124,3
900,58,690,124,2
900,91,796,124,1
900,275,531,195,3
900,248,654,195,2
900,221,777,195,1
900,25,512,100,3
900,50,642,100,2
900,75,772,100,1
900,25,442,99,3
900,50,595,99,2
900,75,748,99,1
900,25,501,89,3
900,47,634,89,2
900,69,767,89,1
900,25,658,79,3
900,43,739,79,2
900,61,820,79,1
900,25,498,90,3
900,47,632,90,2
900,69,766,90,1
900,25,527,91,3
900,47,652,91,2
900,69,777,91,1
900,275,582,241,3
900,263,688,241,2
900,251,794,241,1
900,275,570,236,3
900,262,680,236,2
900,249,790,236,1
900,25,555,78,3
900,43,670,78,2
900,61,785,78,1
900,275,351,205,3
900,251,534,205,2
900,227,717,205,1
900,25,461,53,3
900,35,608,53,2
900,45,755,53,1
900,275,767,217,3
900,255,812,217,2
900,235,857,217,1
900,25,445,96,3
900,49,597,96,2
900,73,749,96,1
900,25,550,73,3
900,41,667,73,2
900,57,784,73,1
900,25,580,88,3
900,46,687,88,2
900,67,794,88,1
900,275,609,253,3
900,267,706,253,2
900,259,803,253,1
900,25,529,106,3
900,52,653,106,2
900,79,777,106,1
900,275,479,227,3
900,259,620,227,2
900,243,761,227,1
900,275,610,172,3
900,240,707,172,2
900,205,804,172,1
900,275,436,201,3
900,250,591,201,2
900,225,746,201,1
900,275,435,213,3
900,254,590,213,2
900,233,745,213,1
900,25,568,94,3
900,48,679,94,2
900,71,790,94,1
900,25,381,83,3
900,45,554,83,2
900,65,727,83,1
900,25,395,122,3
900,58,564,122,2
900,91,733,122,1
900,275,601,227,3
900,259,701,227,2
900,243,801,227,1
900,25,430,120,3
900,57,587,120,2
900,89,744,120,1
900,275,623,199,3
900,249,716,199,2
900,223,809,199,1
900,25,485,96,3
900,49,624,96,2
900,73,763,96,1
900,275,468,209,3
900,253,612,209,2
900,231,756,209,1
900,275,390,224,3
900,258,560,224,2
900,241,730,224,1
900,25,699,97,3
900,49,766,97,2
900,73,833,97,1
900,25,356,82,3
900,44,538,82,2
900,63,720,82,1
900,25,461,78,3
900,43,608,78,2
900,61,755,78,1
900,25,599,124,3
900,58,700,124,2
900,91,801,124,1
900,25,268,88,3
900,46,479,88,2
900,67,690,88,1
900,275,460,224,3
900,258,607,224,2
900,241,754,224,1
900,25,558,83,3
900,45,672,83,2
900,65,786,83,1
900,275,266,215,3
900,255,478,215,2
900,235,690,215,1
900,25,345,60,3
900,37,530,60,2
900,49,715,60,1
900,25,628,104,3
900,52,719,104,2
900,79,810,104,1
900,275,540,226,3
900,258,660,226,2
900,241,780,226,1
900,25,456,123,3
900,58,604,123,2
900,91,752,123,1
900,25,606,84,3
900,45,704,84,2
900,65,802,84,1
900,275,307,218,3
900,256,505,218,2
900,237,703,218,1
900,275,460,205,3
900,251,607,205,2
900,227,754,205,1
900,275,372,198,3
900,249,548,198,2
900,223,724,198,1
900,275,525,217,3
900,255,650,217,2
900,235,775,217,1
900,275,381,196,3
900,248,554,196,2
900,221,727,196,1
900,25,436,98,3
900,50,591,98,2
900,75,746,98,1
900,25,495,100,3
900,50,630,100,2
900,75,765,100,1
900,25,635,96,3
900,49,724,96,2
900,73,813,96,1
900,25,387,64,3
900,38,558,64,2
900,51,729,64,1
900,25,458,56,3
900,36,606,56,2
900,47,754,56,1
900,275,596,232,3
900,260,698,232,2
900,245,800,232,1
900,25,742,136,3
900,62,795,136,2
900,99,848,136,1
900,275,459,244,3
900,264,606,244,2
900,253,753,244,1
900,275,485,217,3
900,255,624,217,2
900,235,763,217,1
900,275,254,205,3
900,251,470,205,2
900,227,686,205,1
900,275,447,221,3
900,257,598,221,2
900,239,749,221,1
900,275,524,191,3
900,247,650,191,2
900,219,776,191,1
900,275,533,234,3
900,261,656,234,2
900,247,779,234,1
900,25,428,114,3
900,55,586,114,2
900,85,744,114,1
900,25,532,112,3
900,54,655,112,2
900,83,778,112,1
900,25,341,67,3
900,39,528,67,2
900,53,715,67,1
900,25,615,95,3
900,49,710,95,2
900,73,805,95,1
900,275,533,205,3
900,251,656,205,2
900,227,779,205,1
900,25,565,95,3
900,49,677,95,2
900,73,789,95,1
900,275,472,227,3
900,259,615,227,2
900,243,758,227,1
900,275,364,199,3
900,249,543,199,2
900,223,722,199,1
900,25,645,104,3
900,52,730,104,2
900,79,815,104,1
900,275,375,227,3
900,259,550,227,2
900,243,725,227,1
900,25,476,71,3
900,41,618,71,2
900,57,760,71,1
900,25,400,124,3
900,58,567,124,2
900,91,734,124,1
900,275,455,191,3
900,247,604,191,2
900,219,753,191,1
900,275,525,216,3
900,255,650,216,2
900,235,775,216,1
900,275,585,216,3
900,255,690,216,2
900,235,795,216,1
900,275,501,235,3
900,261,634,235,2
900,247,767,235,1
900,25,589,65,3
900,39,693,65,2
900,53,797,65,1
900,275,471,226,3
900,258,614,226,2
900,241,757,226,1
900,275,394,220,3
900,256,563,220,2
900,237,732,220,1
900,275,521,213,3
900,254,648,213,2
900,233,775,213,1
900,275,640,193,3
900,247,727,193,2
900,219,814,193,1
900,275,481,223,3
900,257,621,223,2
900,239,761,223,1
900,25,438,86,3
900,46,592,86,2
900,67,746,86,1
900,25,500,71,3
900,41,634,71,2
900,57,768,71,1
900,275,550,224,3
900,258,667,224,2
900,241,784,224,1
900,275,557,255,3
900,268,672,255,2
900,261,787,255,1
900,275,385,232,3
900,260,557,232,2
900,245,729,232,1
900,25,396,112,3
900,54,564,112,2
900,83,732,112,1
900,275,394,213,3
900,254,563,213,2
900,233,732,213,1
900,275,507,235,3
900,261,638,235,2
900,247,769,235,1
900,275,406,190,3
900,246,571,190,2
900,217,736,190,1
900,25,381,99,3
900,50,554,99,2
900,75,727,99,1
900,25,583,88,3
900,46,689,88,2
900,67,795,88,1
900,275,598,206,3
900,252,699,206,2
900,229,800,206,1
900,25,664,63,3
900,38,743,63,2
900,51,822,63,1
900,275,434,258,3
900,269,590,258,2
900,263,746,258,1
900,275,721,175,3
900,241,781,175,2
900,207,841,175,1
900,25,448,75,3
900,42,599,75,2
900,59,750,75,1
900,25,464,73,3
900,41,610,73,2
900,57,756,73,1
900,25,656,118,3
900,56,738,118,2
900,87,820,118,1
900,275,490,185,3
900,245,627,185,2
900,215,764,185,1
900,275,500,242,3
900,264,634,242,2
900,253,768,242,1
900,275,575,215,3
900,255,684,215,2
900,235,793,215,1
900,275,381,202,3
900,250,554,202,2
900,225,727,202,1
900,25,470,85,3
900,45,614,85,2
900,65,758,85,1
900,275,838,208,3
900,252,859,208,2
900,229,880,208,1
