Direction Split,Density,Average Speed,Average Density
0.5,0.05,2.6689710289710384,0.12977022977022928
0.5,0.1,2.6750049950049974,0.24295704295704207
0.5,0.15,2.602917082917084,0.3244755244755244
0.5,0.2,2.498001998002002,0.4107892107892112
0.5,0.25,2.4837082917082927,0.47192807192807223
0.5,0.3,2.223909423909422,0.46933066933067047
0.5,0.35,2.276015413158269,0.5554445554445563
0.5,0.4,2.1370429570429534,0.5580419580419578
0.5,0.45,2.090900210900209,0.5961038961038969
0.5,0.5,1.9953086913086917,0.6273726273726286
0.5,0.55,1.9430678412496587,0.6323676323676327
0.5,0.6,1.8700999000998988,0.6258741258741263
0.5,0.65,1.7119803273649437,0.5580419580419592
0.5,0.7,1.6031596974454123,0.5065934065934071
0.5,0.75,1.6576223776223753,0.631668331668333
0.5,0.8,1.5685364635364645,0.5517482517482528
0.5,0.85,1.5140177469589233,0.5094905094905099
0.5,0.9,1.4235653235653252,0.49980019980020013
0.5,0.95,1.474552815605448,0.5702297702297697
0.6,0.05,2.879280719280732,0.13436563436563354
0.6,0.1,2.746673326673335,0.26013986013985946
0.6,0.15,2.6577688977688974,0.34785214785214796
0.6,0.2,2.649750249750252,0.4383616383616388
0.6,0.25,2.4159200799200815,0.4673326673326675
0.6,0.3,2.4100499500499506,0.5259740259740258
0.6,0.35,2.2252661624090164,0.5722277722277722
0.6,0.4,2.190274725274726,0.5959040959040959
0.6,0.45,2.0297036297036306,0.5540459540459535
0.6,0.5,2.080371628371629,0.673526473526474
0.6,0.55,1.971588411588415,0.6725274725274737
0.6,0.6,1.7779653679653684,0.572027972027973
0.6,0.65,1.707243525705064,0.5736263736263743
0.6,0.7,1.5914342800057077,0.49500499500499573
0.6,0.75,1.6615837495837498,0.6044955044955047
0.6,0.8,1.5639835164835165,0.5516483516483528
0.6,0.85,1.481666568725392,0.5093906093906108
0.6,0.9,1.4416117216117241,0.466933066933068
0.6,0.95,1.4796487722803526,0.54975024975025
0.7,0.05,2.677282717282717,0.12857142857142792
0.7,0.1,2.83416583416586,0.28741258741258774
0.7,0.15,2.689976689976688,0.3532467532467528
0.7,0.2,2.7632567432567425,0.4923076923076934
0.7,0.25,2.4486393606393597,0.45394605394605453
0.7,0.3,2.3714152514152516,0.5357642357642369
0.7,0.35,2.2908063365206206,0.5941058941058948
0.7,0.4,2.197237762237762,0.625474525474526
0.7,0.45,2.1744966144966154,0.6706293706293708
0.7,0.5,2.070413586413589,0.6710289710289716
0.7,0.55,1.9354136772318582,0.647052947052947
0.7,0.6,1.8439760239760234,0.6033966033966045
0.7,0.65,1.843209098593715,0.6408591408591419
0.7,0.7,1.6758898244612543,0.5862137862137872
0.7,0.75,1.7588251748251742,0.7061938061938073
0.7,0.8,1.59746003996004,0.5574425574425574
0.7,0.85,1.507107010636423,0.5406593406593413
0.7,0.9,1.4085114885114889,0.4435564435564439
0.7,0.95,1.4133466533466514,0.47032967032967044
0.8,0.05,2.645634365634378,0.1145854145854141
0.8,0.1,2.7768831168831345,0.25604395604395513
0.8,0.15,2.700273060273065,0.36903096903096905
0.8,0.2,2.5899500499500507,0.4216783216783217
0.8,0.25,2.6273326673326682,0.5448551448551452
0.8,0.3,2.334612054612055,0.5109890109890108
0.8,0.35,2.279817325531608,0.5732267732267738
0.8,0.4,2.2369080919080897,0.5877122877122877
0.8,0.45,2.0055855255855244,0.5259740259740268
0.8,0.5,2.0103816183816168,0.6451548451548452
0.8,0.55,1.907855780583056,0.6248751248751258
0.8,0.6,1.9693073593073571,0.7393606393606416
0.8,0.65,1.797879044032889,0.6106893106893103
0.8,0.7,1.7251348651348677,0.6299700299700309
0.8,0.75,1.6933066933066945,0.6107892107892116
0.8,0.8,1.7327922077922102,0.7096903096903112
0.8,0.85,1.5818181818181842,0.5841158841158854
0.8,0.9,1.5180641580641585,0.6157842157842165
0.8,0.95,1.4320206109679787,0.5265734265734279
0.9,0.05,2.97266733266734,0.1572427572427563
0.9,0.1,2.810369630369646,0.26643356643356575
0.9,0.15,2.7839893439893624,0.3613386613386612
0.9,0.2,2.6486913086913093,0.47232767232767237
0.9,0.25,2.5374625374625364,0.5221778221778228
0.9,0.3,2.4525208125208136,0.5538461538461554
0.9,0.35,2.40544598258884,0.6019980019980019
0.9,0.4,2.337597402597404,0.7073926073926082
0.9,0.45,2.1354112554112556,0.6333666333666346
0.9,0.5,2.082377622377621,0.652447552447554
0.9,0.55,2.0018563254926884,0.687912087912089
0.9,0.6,2.101158841158843,0.8300699300699313
0.9,0.65,1.837596249903942,0.6420579420579425
0.9,0.7,1.9226116740402437,0.7923076923076933
0.9,0.75,1.6784069264069257,0.6040959040959046
0.9,0.8,1.6393831168831148,0.6252747252747255
0.9,0.85,1.6467838044308643,0.6724275724275735
0.9,0.9,1.618639138639139,0.6905094905094918
0.9,0.95,1.5384615384615403,0.6116883116883131
1.0,0.05,2.7151648351648383,0.13346653346653276
1.0,0.1,2.884795204795225,0.2838161838161828
1.0,0.15,2.7582950382950484,0.37652347652347706
1.0,0.2,2.612987012987011,0.4518481518481524
1.0,0.25,2.549714285714286,0.5153846153846157
1.0,0.3,2.3602197802197757,0.5136863136863146
1.0,0.35,2.2373112601683998,0.5380619380619379
1.0,0.4,2.237982017982018,0.6179820179820184
1.0,0.45,2.3624420024420036,0.7964035964035969
1.0,0.5,2.3220419580419587,0.8632367632367645
1.0,0.55,2.1955753337571515,0.8038961038961048
1.0,0.6,2.0919913419913425,0.800199800199802
1.0,0.65,1.8585537539383696,0.6670329670329678
