pedX,pedY,vehX,vehY,TTC
900,25,658,76,3
900,42,739,76,2
900,59,820,76,1
900,25,489,56,3
900,36,626,56,2
900,47,763,56,1
900,25,550,68,3
900,40,667,68,2
900,55,784,68,1
900,25,490,42,3
900,31,627,42,2
900,37,764,42,1
900,275,447,236,3
900,262,598,236,2
900,249,749,236,1
900,25,408,65,3
900,39,572,65,2
900,53,736,65,1
900,25,327,63,3
900,38,518,63,2
900,51,709,63,1
900,25,353,58,3
900,36,536,58,2
900,47,719,58,1
900,275,508,224,3
900,258,639,224,2
900,241,770,224,1
900,275,276,260,3
900,270,484,260,2
900,265,692,260,1
900,25,420,85,3
900,45,580,85,2
900,65,740,85,1
900,25,467,54,3
900,35,612,54,2
900,45,757,54,1
900,25,455,38,3
900,30,604,38,2
900,35,753,38,1
900,275,693,230,3
900,260,762,230,2
900,245,831,230,1
900,25,615,91,3
900,47,710,91,2
900,69,805,91,1
900,25,485,72,3
900,41,624,72,2
900,57,763,72,1
900,275,339,220,3
900,256,526,220,2
900,237,713,220,1
900,275,708,231,3
900,260,772,231,2
900,245,836,231,1
900,25,658,77,3
900,43,739,77,2
900,61,820,77,1
900,275,490,269,3
900,273,627,269,2
900,271,764,269,1
900,25,567,73,3
900,41,678,73,2
900,57,789,73,1
900,25,581,81,3
900,44,688,81,2
900,63,795,81,1
900,275,474,253,3
900,267,616,253,2
900,259,758,253,1
900,25,486,54,3
900,35,624,54,2
900,45,762,54,1
900,275,501,207,3
900,252,634,207,2
900,229,767,207,1
900,275,582,212,3
900,254,688,212,2
900,233,794,212,1
900,275,249,260,3
900,270,466,260,2
900,265,683,260,1
900,25,643,76,3
900,42,729,76,2
900,59,815,76,1
900,275,614,239,3
900,263,710,239,2
900,251,806,239,1
900,275,637,243,3
900,264,725,243,2
900,253,813,243,1
900,25,407,55,3
900,35,572,55,2
900,45,737,55,1
900,275,580,208,3
900,252,687,208,2
900,229,794,208,1
900,25,491,31,3
900,27,628,31,2
900,29,765,31,1
900,25,466,39,3
900,30,611,39,2
900,35,756,39,1
900,275,606,178,3
900,242,704,178,2
900,209,802,178,1
900,25,443,74,3
900,42,596,74,2
900,59,749,74,1
900,275,300,240,3
900,263,500,240,2
900,251,700,240,1
900,25,441,75,3
900,42,594,75,2
900,59,747,75,1
900,25,484,31,3
900,27,623,31,2
900,29,762,31,1
900,275,427,257,3
900,269,585,257,2
900,263,743,257,1
900,275,573,237,3
900,262,682,237,2
900,249,791,237,1
900,275,416,224,3
900,258,578,224,2
900,241,740,224,1
900,275,676,251,3
900,267,751,251,2
900,259,826,251,1
900,25,367,57,3
900,36,545,57,2
900,47,723,57,1
900,275,212,246,3
900,265,442,246,2
900,255,672,246,1
900,275,739,220,3
900,256,793,220,2
900,237,847,220,1
900,25,572,77,3
900,43,682,77,2
900,61,792,77,1
900,25,614,91,3
900,47,710,91,2
900,69,806,91,1
900,275,680,215,3
900,255,754,215,2
900,235,828,215,1
900,25,334,84,3
900,45,523,84,2
900,65,712,84,1
900,275,315,230,3
900,260,510,230,2
900,245,705,230,1
900,25,368,92,3
900,48,546,92,2
900,71,724,92,1
900,275,737,244,3
900,264,792,244,2
900,253,847,244,1
900,275,596,269,3
900,273,698,269,2
900,271,800,269,1
900,275,632,239,3
900,263,722,239,2
900,251,812,239,1
900,25,319,61,3
900,37,513,61,2
900,49,707,61,1
900,275,763,231,3
900,260,809,231,2
900,245,855,231,1
900,25,465,58,3
900,36,610,58,2
900,47,755,58,1
900,275,566,269,3
900,273,678,269,2
900,271,790,269,1
900,25,850,62,3
900,38,867,62,2
900,51,884,62,1
900,25,547,31,3
900,27,665,31,2
900,29,783,31,1
900,275,580,269,3
900,273,687,269,2
900,271,794,269,1
900,25,416,75,3
900,42,578,75,2
900,59,740,75,1
900,25,532,31,3
900,27,655,31,2
900,29,778,31,1
900,25,486,31,3
900,27,624,31,2
900,29,762,31,1
900,275,491,269,3
900,273,628,269,2
900,271,765,269,1
900,25,565,66,3
900,39,677,66,2
900,53,789,66,1
900,25,393,56,3
900,36,562,56,2
900,47,731,56,1
900,25,507,45,3
900,32,638,45,2
900,39,769,45,1
900,25,349,84,3
900,45,533,84,2
900,65,717,84,1
900,275,526,245,3
900,265,651,245,2
900,255,776,245,1
900,25,239,42,3
900,31,460,42,2
900,37,681,42,1
900,275,435,211,3
900,253,590,211,2
900,231,745,211,1
900,25,360,59,3
900,37,540,59,2
900,49,720,59,1
900,25,571,99,3
900,50,681,99,2
900,75,791,99,1
900,275,411,211,3
900,253,574,211,2
900,231,737,211,1
900,275,537,269,3
900,273,658,269,2
900,271,779,269,1
900,275,561,219,3
900,256,674,219,2
900,237,787,219,1
900,25,403,97,3
900,49,569,97,2
900,73,735,97,1
900,275,646,231,3
900,260,731,231,2
900,245,816,231,1
900,275,796,255,3
900,268,831,255,2
900,261,866,255,1
900,275,475,211,3
900,253,617,211,2
900,231,759,211,1
900,25,367,44,3
