Direction Split,Density,Average Speed,Average Density
0.5,0.05,2.9298701298701655,0.15454545454545363
0.5,0.1,2.873786213786243,0.2704295704295699
0.5,0.15,2.7641958041958126,0.36383616383616324
0.5,0.2,2.765374625374624,0.4620379620379619
0.5,0.25,2.673078921078923,0.5375624375624378
0.5,0.3,2.698894438894452,0.6498501498501512
0.5,0.35,2.583890395318971,0.7023976023976028
0.5,0.4,2.461663336663336,0.7204795204795212
0.5,0.45,2.40559440559441,0.7928071928071931
0.5,0.5,2.3148931068931065,0.8091908091908087
0.5,0.55,2.3146962128780295,0.8755244755244759
0.5,0.6,2.3028538128538103,0.9844155844155847
0.5,0.65,2.008585260892952,0.7956043956043956
0.5,0.7,2.162017982017985,1.0052947052947054
0.5,0.75,2.006502830502832,0.9642357642357645
0.5,0.8,2.066563436563437,1.0899100899100915
0.5,0.85,1.882040312628546,0.9279720279720278
0.5,0.9,1.8025241425241443,0.9418581418581421
0.5,0.95,1.8202849781797157,1.0249750249750251
0.6,0.05,2.9690709290709423,0.1542457542457537
0.6,0.1,2.9608591408591565,0.3065934065934058
0.6,0.15,2.8534532134532395,0.3842157842157844
0.6,0.2,2.7192807192807176,0.45104895104895143
0.6,0.25,2.6480000000000024,0.5096903096903097
0.6,0.3,2.64701964701965,0.6142857142857143
0.6,0.35,2.546105323248181,0.674725274725276
0.6,0.4,2.55381118881119,0.7719280719280722
0.6,0.45,2.4820379620379627,0.8431568431568423
0.6,0.5,2.3561238761238763,0.8654345654345663
0.6,0.55,2.4562165107619625,1.026673326673327
0.6,0.6,2.1664069264069266,0.882917082917084
0.6,0.65,2.2452193959886295,0.9952047952047954
0.6,0.7,2.1114770943342376,0.9870129870129867
0.6,0.75,2.0772560772560746,1.0149850149850137
0.6,0.8,1.8907242757242773,0.9414585414585415
0.6,0.85,1.8333995416348365,0.9115884115884109
0.6,0.9,1.9068065268065282,1.102897102897103
0.6,0.95,1.7884515484515506,1.015384615384616
0.7,0.05,2.89306693306697,0.15284715284715175
0.7,0.1,2.8951848151848396,0.26883116883116825
0.7,0.15,2.8250283050283285,0.3773226773226776
0.7,0.2,2.812887112887114,0.48121878121878137
0.7,0.25,2.751832167832172,0.5463536463536464
0.7,0.3,2.689803529803531,0.6679320679320686
0.7,0.35,2.538341658341656,0.6448551448551445
0.7,0.4,2.480399600399604,0.7385614385614386
0.7,0.45,2.5008902208902195,0.8305694305694309
0.7,0.5,2.4914405594405586,0.9157842157842151
0.7,0.55,2.311673780764692,0.8906093906093905
0.7,0.6,2.233300033300033,0.9283716283716293
0.7,0.65,2.098350879889341,0.8707292707292705
